freq,ang,val
0.0,-180.0,-19.71
0.25,-180.0,-0.79
0.5,-180.0,-8.45
0.75,-180.0,-7.67
1.0,-180.0,-7.66
1.25,-180.0,-8.04
1.5,-180.0,-7.9
1.75,-180.0,-7.65
2.0,-180.0,-7.29
2.25,-180.0,-7.21
2.5,-180.0,-7.45
2.75,-180.0,-7.3
3.0,-180.0,-7.21
3.25,-180.0,-6.67
3.5,-180.0,-4.67
3.75,-180.0,-5.29
4.0,-180.0,-6.21
0.0,-171.0,-15.55
0.25,-171.0,-0.67
0.5,-171.0,-8.83
0.75,-171.0,-7.84
1.0,-171.0,-7.76
1.25,-171.0,-8.07
1.5,-171.0,-7.87
1.75,-171.0,-7.6
2.0,-171.0,-7.24
2.25,-171.0,-7.18
2.5,-171.0,-7.43
2.75,-171.0,-7.28
3.0,-171.0,-7.2
3.25,-171.0,-6.66
3.5,-171.0,-4.66
3.75,-171.0,-5.26
4.0,-171.0,-6.17
0.0,-162.0,-8.56
0.25,-162.0,-0.59
0.5,-162.0,-10.05
0.75,-162.0,-8.58
1.0,-162.0,-8.2
1.25,-162.0,-8.19
1.5,-162.0,-7.81
1.75,-162.0,-7.48
2.0,-162.0,-7.12
2.25,-162.0,-7.07
2.5,-162.0,-7.35
2.75,-162.0,-7.23
3.0,-162.0,-7.15
3.25,-162.0,-6.64
3.5,-162.0,-4.61
3.75,-162.0,-5.17
4.0,-162.0,-6.06
0.0,-153.0,-5.91
0.25,-153.0,-1.48
0.5,-153.0,-10.57
0.75,-153.0,-10.54
1.0,-153.0,-9.34
1.25,-153.0,-8.58
1.5,-153.0,-7.84
1.75,-153.0,-7.44
2.0,-153.0,-7.05
2.25,-153.0,-6.95
2.5,-153.0,-7.18
2.75,-153.0,-7.05
3.0,-153.0,-7.0
3.25,-153.0,-6.55
3.5,-153.0,-4.52
3.75,-153.0,-5.05
4.0,-153.0,-5.93
0.0,-144.0,-6.66
0.25,-144.0,-5.06
0.5,-144.0,-11.94
0.75,-144.0,-13.85
1.0,-144.0,-11.8
1.25,-144.0,-9.87
1.5,-144.0,-8.47
1.75,-144.0,-7.82
2.0,-144.0,-7.35
2.25,-144.0,-7.02
2.5,-144.0,-6.93
2.75,-144.0,-6.62
3.0,-144.0,-6.61
3.25,-144.0,-6.25
3.5,-144.0,-4.31
3.75,-144.0,-4.89
4.0,-144.0,-5.8
0.0,-135.0,-9.63
0.25,-135.0,-7.84
0.5,-135.0,-15.73
0.75,-135.0,-11.37
1.0,-135.0,-10.79
1.25,-135.0,-10.86
1.5,-135.0,-10.06
1.75,-135.0,-8.96
2.0,-135.0,-8.3
2.25,-135.0,-7.75
2.5,-135.0,-7.22
2.75,-135.0,-6.47
3.0,-135.0,-6.36
3.25,-135.0,-6.23
3.5,-135.0,-4.23
3.75,-135.0,-4.58
4.0,-135.0,-5.39
0.0,-126.0,-9.31
0.25,-126.0,-5.57
0.5,-126.0,-11.85
0.75,-126.0,-10.54
1.0,-126.0,-9.27
1.25,-126.0,-9.02
1.5,-126.0,-8.96
1.75,-126.0,-8.87
2.0,-126.0,-8.69
2.25,-126.0,-8.87
2.5,-126.0,-8.65
2.75,-126.0,-7.3
3.0,-126.0,-6.8
3.25,-126.0,-7.08
3.5,-126.0,-4.93
3.75,-126.0,-4.54
4.0,-126.0,-5.1
0.0,-117.0,-3.99
0.25,-117.0,-5.8
0.5,-117.0,-5.64
0.75,-117.0,-6.44
1.0,-117.0,-6.3
1.25,-117.0,-6.89
1.5,-117.0,-7.73
1.75,-117.0,-8.15
2.0,-117.0,-7.52
2.25,-117.0,-7.32
2.5,-117.0,-7.79
2.75,-117.0,-7.98
3.0,-117.0,-8.19
3.25,-117.0,-8.72
3.5,-117.0,-6.92
3.75,-117.0,-6.55
4.0,-117.0,-7.09
0.0,-108.0,-2.96
0.25,-108.0,-2.5
0.5,-108.0,-5.03
0.75,-108.0,-5.18
1.0,-108.0,-4.92
1.25,-108.0,-5.04
1.5,-108.0,-4.97
1.75,-108.0,-5.33
2.0,-108.0,-5.44
2.25,-108.0,-6.03
2.5,-108.0,-7.74
2.75,-108.0,-10.81
3.0,-108.0,-12.79
3.25,-108.0,-11.46
3.5,-108.0,-12.39
3.75,-108.0,-9.44
4.0,-108.0,-9.18
0.0,-99.0,-2.16
0.25,-99.0,-1.71
0.5,-99.0,-3.28
0.75,-99.0,-4.03
1.0,-99.0,-3.98
1.25,-99.0,-4.01
1.5,-99.0,-4.26
1.75,-99.0,-5.61
2.0,-99.0,-7.14
2.25,-99.0,-9.15
2.5,-99.0,-11.96
2.75,-99.0,-13.11
3.0,-99.0,-11.35
3.25,-99.0,-11.75
3.5,-99.0,-10.54
3.75,-99.0,-8.45
4.0,-99.0,-8.95
0.0,-90.0,-0.16
0.25,-90.0,2.13
0.5,-90.0,-1.19
0.75,-90.0,-1.96
1.0,-90.0,-2.06
1.25,-90.0,-2.3
1.5,-90.0,-3.99
1.75,-90.0,-7.03
2.0,-90.0,-6.98
2.25,-90.0,-7.05
2.5,-90.0,-7.86
2.75,-90.0,-9.15
3.0,-90.0,-8.02
3.25,-90.0,-4.5
3.5,-90.0,-3.33
